B435,eB435,V606,eV606,I814,eI814,Y105,eY105,J125,eJ125,JH140,eJH140,H160,eH160,bright_mag,bright_magerr,stel,fwhm,area,zmax,label
99.0,28.875,28.5096,0.4146,27.2676,0.1554,25.9132,0.1202,26.4002,0.284,26.3028,0.2173,26.1119,0.1297,26.0485,28.2417,0.0,0.458,63.0,6.23,not_spike
31.3201,3.0949,28.1575,0.5265,25.4408,0.0569,24.5233,0.061,24.0475,0.0649,23.5338,0.0339,23.28,0.019,23.2994,27.6606,0.03,0.451,223.0,5.383,not_spike
29.3003,0.4387,31.1429,1.112,99.0,30.4313,28.9682,0.7438,27.6595,0.4084,28.1991,0.5395,27.3991,0.2083,27.657,29.0861,0.7,0.217,9.0,7.826,not_spike
99.0,29.2897,30.7778,1.4013,28.6293,0.3592,27.1907,0.3853,26.7731,0.4019,27.047,0.4259,26.2218,0.1503,26.3963,28.2927,0.0,0.746,36.0,6.242,not_spike
99.0,29.0291,99.0,29.4908,28.1988,0.2996,26.8656,0.2264,26.7141,0.3032,26.3749,0.1965,26.5806,0.1593,26.615,28.1312,0.0,0.485,47.0,6.04,not_spike
99.0,29.679,30.7819,1.121,30.6451,1.0735,28.5861,0.5443,28.2956,0.6152,28.5048,0.6369,27.7744,0.2604,28.1176,29.192,0.0,0.415,14.0,6.54,not_spike
29.8492,0.6482,99.0,30.5039,31.0441,1.1065,28.2558,0.3318,27.5258,0.2847,28.7359,0.6034,28.5567,0.3973,27.9128,28.8337,0.55,0.125,6.0,6.59,not_spike
28.1172,0.4487,29.2969,0.763,26.4619,0.0831,25.6414,0.1369,25.8202,0.2048,25.6458,0.1832,25.6581,0.1057,25.7752,28.1337,0.0,0.88,81.0,5.61,not_spike
29.9067,0.7845,99.0,30.3208,31.3289,1.4064,28.0373,0.3038,28.196,0.5004,28.3413,0.4844,28.327,0.3383,28.4607,29.2645,0.01,0.371,12.0,6.53,not_spike
28.8633,0.6799,29.5236,0.7749,26.7214,0.0892,25.922,0.1097,25.8617,0.1597,25.9102,0.1445,26.3286,0.1367,26.044,28.3553,0.01,0.485,54.0,5.99,not_spike
99.0,29.3874,99.0,29.8689,29.2729,0.5242,27.8499,0.3451,27.3694,0.3396,27.9486,0.4699,27.5942,0.2426,27.8662,28.4571,0.0,0.474,18.0,6.067,not_spike
99.0,28.6913,99.0,29.1487,25.7375,0.0494,24.6883,0.0513,24.8234,0.0892,24.7711,0.0733,24.8181,0.05,24.7422,27.9761,0.51,0.281,99.0,6.01,not_spike
99.0,29.4107,99.0,29.8167,30.4623,1.1841,28.8399,0.7079,28.011,0.5815,28.2152,0.5753,27.8685,0.3205,28.3252,29.0292,0.0,0.48,18.0,6.2,not_spike
28.9225,1.0019,31.9292,3.1352,28.2129,0.5089,25.8932,0.1733,25.5352,0.2036,24.4122,0.0637,23.8121,0.0264,23.8392,27.8349,0.02,0.459,165.0,9.98,not_spike
33.2124,3.291,99.0,30.3164,30.1591,0.7356,28.0319,0.4628,27.5123,0.4927,29.1045,1.1722,27.4691,0.2826,27.8521,28.7862,0.75,0.223,12.0,6.396,not_spike
99.0,29.7695,29.7642,0.5408,99.0,30.1653,27.8737,0.3034,27.8816,0.4438,28.3618,0.5543,27.9267,0.277,28.2962,29.1027,0.03,0.455,12.0,6.96,not_spike
99.0,29.5472,29.9978,0.7517,28.3912,0.2338,27.4552,0.2557,27.3873,0.3643,27.7564,0.4192,27.0341,0.1616,27.224,29.0208,0.26,0.283,18.0,5.648,not_spike
99.0,28.8337,29.1225,0.6997,28.8231,0.5869,26.2761,0.1594,26.6113,0.3287,26.3889,0.2269,26.1216,0.1263,26.2646,28.3938,0.0,0.966,60.0,6.65,spike
27.784,0.4226,29.066,0.8006,99.0,28.9521,25.8486,0.14,26.0909,0.2721,25.8833,0.1882,25.4345,0.0891,25.5316,28.1048,0.0,0.928,47.0,6.96,spike
99.0,29.3823,29.7823,0.7583,99.0,29.7582,27.301,0.2445,27.7647,0.5371,28.0993,0.5811,26.945,0.166,27.141,28.9,0.34,0.475,18.0,6.831,spike
99.0,29.5804,29.1237,0.4225,27.3215,0.1016,26.8337,0.1579,26.6415,0.2196,27.4673,0.3405,27.3427,0.2213,26.9172,28.2649,0.33,0.298,22.0,5.349,not_spike
29.3124,0.5779,30.908,1.2178,28.3071,0.1978,27.7035,0.2647,27.7244,0.4289,27.8838,0.3873,27.8885,0.2911,28.0543,29.1006,0.01,0.395,14.0,5.31,not_spike
29.0445,0.7838,99.0,29.3877,32.4415,3.1665,27.0601,0.2836,26.5722,0.2986,26.9866,0.3406,27.0559,0.2607,26.9855,27.8209,0.0,0.292,12.0,6.752,not_spike
99.0,29.3339,99.0,29.7154,28.9418,0.4441,27.7857,0.3772,28.6738,1.0289,27.1245,0.2871,27.2089,0.2181,27.4821,28.8409,0.0,0.491,27.0,5.988,not_spike
99.0,28.7354,99.0,29.1446,27.8869,0.3069,26.5595,0.2287,27.4817,0.699,26.8887,0.3796,26.6,0.2159,26.8495,28.1344,0.0,0.997,53.0,6.17,not_spike
31.7693,2.0947,29.9414,0.6182,28.6846,0.253,27.5527,0.2706,28.688,0.9744,28.1981,0.5313,28.3256,0.4718,27.914,28.9233,0.01,0.378,14.0,4.528,not_spike
28.8744,0.5673,99.0,29.6466,29.2497,0.6036,27.1703,0.2613,26.6693,0.2777,26.829,0.2554,26.9256,0.1961,27.0434,28.0081,0.0,0.491,20.0,6.39,not_spike
99.0,30.0827,99.0,30.4745,30.1672,0.6767,28.2771,0.326,28.5943,0.6226,28.5947,0.5198,28.2053,0.283,28.589,29.5208,0.61,0.173,6.0,6.198,not_spike
30.8412,1.481,99.0,30.0853,27.9235,0.1491,27.4561,0.224,27.6568,0.4118,27.6945,0.3497,27.5005,0.214,27.7387,29.0557,0.64,0.256,14.0,5.75,not_spike
30.5305,1.4219,99.0,29.8196,28.8096,0.3801,27.6319,0.3219,27.67,0.5052,27.161,0.2841,26.9551,0.1705,27.1575,28.8785,0.01,0.541,25.0,6.031,spike
99.0,29.8939,31.1753,1.2949,99.0,30.1816,28.1155,0.4005,27.3615,0.3612,27.3585,0.2766,27.5867,0.2514,27.7306,28.7018,0.75,0.272,13.0,7.232,not_spike
99.0,29.7642,31.2148,1.3757,29.6016,0.5052,28.3361,0.3619,28.9576,0.8344,28.1747,0.4045,28.4585,0.3636,28.8267,29.0382,0.08,0.323,9.0,5.798,not_spike
31.0298,1.8978,29.8415,0.7961,28.2074,0.2503,26.9999,0.2048,27.8777,0.6125,27.1935,0.3048,27.2215,0.2207,27.2525,28.7068,0.0,0.587,28.0,5.77,spike
28.9975,0.578,99.0,29.8996,28.561,0.3886,28.4141,0.4337,28.3951,0.3059,28.322,0.69,27.9319,0.1925,28.166,29.7125,0.43,0.357,2.0,4.96,not_spike
99.0,29.6438,99.0,30.1665,99.0,29.7752,28.1243,0.271,28.8222,0.3365,29.0591,0.8893,28.399,0.2224,28.4862,29.493,0.36,0.0,1.0,6.59,not_spike
28.9441,0.7205,99.0,29.5236,28.0213,0.3431,27.7853,0.3475,27.759,0.2436,27.439,0.4676,27.4066,0.1675,27.6048,29.3509,0.06,0.644,1.0,5.44,not_spike
99.0,29.3626,30.482,1.1074,28.6802,0.4301,27.8584,0.288,28.4166,0.3154,27.4585,0.384,27.9978,0.2083,28.0579,28.3894,0.35,0.0,0.0,5.109,not_spike
99.0,28.9755,99.0,29.5388,29.9668,1.2386,27.7039,0.2963,27.6259,0.1943,27.6063,0.4826,27.6174,0.1776,27.8298,29.4932,0.06,0.478,5.0,6.255,not_spike
29.926,0.7925,99.0,30.4039,99.0,29.9813,28.3852,0.6477,27.135,0.4138,27.5567,0.522,26.2162,0.1249,26.3573,28.5012,0.72,0.169,6.0,9.974,not_spike
30.8388,1.3979,31.3144,1.3394,99.0,29.9112,28.0336,0.3715,27.9443,0.3422,-99.0,0.0,27.8585,0.3777,28.4426,28.8107,0.71,0.311,10.0,6.71,not_spike
99.0,28.4943,99.0,29.2051,28.187,0.476,27.2122,0.2374,27.1193,0.1524,27.8538,0.6598,27.1785,0.146,27.2967,29.1738,0.36,0.0,0.0,5.68,not_spike
29.0051,0.5437,99.0,29.9904,30.6066,1.3567,28.8001,0.5117,28.1254,0.2154,30.4136,1.9692,28.0654,0.1877,28.2924,29.8759,0.05,0.404,2.0,7.22,not_spike
99.0,29.6504,99.0,30.1292,30.4395,1.1699,29.8351,0.9706,28.0665,0.2068,28.5979,0.675,28.3111,0.2241,28.3221,29.762,0.44,0.122,2.0,7.951,not_spike
99.0,29.2045,28.8166,0.3775,99.0,29.3522,28.1685,0.3941,27.3753,0.148,28.2379,0.6938,27.7997,0.1911,27.5466,29.4644,0.35,0.499,1.0,7.64,not_spike
